complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
16-0055,80554086,white,male,6400 NORTHEAST DET,Lack of Service,No Sustained Findings,Not Applicable
16-0055,48747636,white,male,1500 15TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0055,94793741,white,male,1500 15TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0056,66140882,white,male,6500 SOUTHWEST DET,Lack of Service,No Sustained Findings,Not Applicable
16-0057,35678026,black,male,1200 12TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0057,24121095,black,male,1200 12TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0057,NA,NA,NA,NA,Physical Abuse,No Sustained Findings,Not Applicable
16-0057,35678026,black,male,1200 12TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0058,87629625,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0058,87629625,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0058,87629625,white,male,1900 19TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0059,87629625,white,male,1900 19TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0060,57849466,white,male,0800 08TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0061,90524179,white,male,1700 17TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0062,24121095,black,male,1200 12TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0062,35678026,black,male,1200 12TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0063,71090738,white,male,2500 25TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0063,71090738,white,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0064,86291696,white,male,0200 02ND DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0064,86291696,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0064,86291696,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0064,86291696,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0065,21168863,white,male,0800 08TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0066,75547754,black,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0066,50567933,latino,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0066,75547754,black,male,2500 25TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0067,82147790,white,male,0300 03RD DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0068,13381959,latino,female,1500 15TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0068,13381959,latino,female,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0068,13381959,latino,female,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0069,73012315,white,male,2500 25TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0070,90705110,black,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0070,90705110,black,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0070,90705110,black,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0070,90705110,black,male,3500 35TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0070,90705110,black,male,3500 35TH DISTRICT,Verbal Abuse,Sustained Finding,Training/Counseling
16-0070,19545633,latino,male,3500 35TH DISTRICT,Physical Abuse,Sustained Finding,Training/Counseling
16-0070,19545633,latino,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0070,31156465,latino,female,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0070,31156465,latino,female,3500 35TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0071,NA,NA,NA,NA,Lack of Service,No Sustained Findings,Not Applicable
16-0072,61225358,white,male,0200 02ND DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0073,90937196,white,male,6702 SPECIAL VICTIMS UNI,Lack of Service,No Sustained Findings,Not Applicable
16-0073,30474626,black,female,6702 SPECIAL VICTIMS UNI,Lack of Service,No Sustained Findings,Not Applicable
16-0074,28456231,white,male,6500 SOUTHWEST DET,Verbal Abuse,No Sustained Findings,Not Applicable
16-0074,97034265,white,male,6500 SOUTHWEST DET,Verbal Abuse,No Sustained Findings,Not Applicable
18-0141,83246080,white,male,1500 15TH DISTRICT,Domestic,No Sustained Findings,Not Applicable
16-0075,28412629,black,female,1200 12TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0075,95500642,latino,female,1200 12TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0076,30096971,asian,female,0800 08TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0076,62350427,black,male,6400 NORTHEAST DET,Verbal Abuse,No Sustained Findings,Not Applicable
16-0077,12387010,black,male,0300 03RD DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0077,12759172,asian,male,1700 17TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0077,33468400,latino,male,1700 17TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0078,27140275,white,male,2400 24TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0078,27140275,white,male,2400 24TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0078,27140275,white,male,2400 24TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0079,34209977,white,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0079,34209977,white,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0079,34209977,white,male,0600 06TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0079,87861024,white,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0079,87861024,white,male,0600 06TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0080,74675027,white,male,0900 09TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0080,88192674,white,male,0900 09TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0081,52593194,white,male,2500 25TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
